,,,,host_info if applicable,,,,,,sampling info if applicable,,,
sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date (DD.MM.YY),collection_depth
S3-P-ST-36B,S3-P-ST-36B-ITS2_L001_R1_001.fastq.gz,S3-P-ST-36B-ITS2_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S4-E-ST-30B,S4-E-ST-30B-ITS2_L001_R1_001.fastq.gz,S4-E-ST-30B-ITS2_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S4-E-ST-33B,S4-E-ST-33B-ITS2_L001_R1_001.fastq.gz,S4-E-ST-33B-ITS2_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S4-E-ST-36B,S4-E-ST-36B-ITS2_L001_R1_001.fastq.gz,S4-E-ST-36B-ITS2_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S4-P-ST-30B,S4-P-ST-30B-ITS2_L001_R1_001.fastq.gz,S4-P-ST-30B-ITS2_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S4-P-ST-33B,S4-P-ST-33B-ITS2_L001_R1_001.fastq.gz,S4-P-ST-33B-ITS2_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S4-P-ST-36B,S4-P-ST-36B-ITS2_L001_R1_001.fastq.gz,S4-P-ST-36B-ITS2_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S5-E-ST-30B,S5-E-ST-30B-ITS2_L001_R1_001.fastq.gz,S5-E-ST-30B-ITS2_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S5-E-ST-33B,S5-E-ST-33B-ITS2_L001_R1_001.fastq.gz,S5-E-ST-33B-ITS2_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S5-E-ST-36B,S5-E-ST-36B-ITS2_L001_R1_001.fastq.gz,S5-E-ST-36B-ITS2_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S5-P-ST-30B,S5-P-ST-30B-ITS2_L001_R1_001.fastq.gz,S5-P-ST-30B-ITS2_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S5-P-ST-33B,S5-P-ST-33B-ITS2_L001_R1_001.fastq.gz,S5-P-ST-33B-ITS2_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S5-P-ST-36B,S5-P-ST-36B-ITS2_L001_R1_001.fastq.gz,S5-P-ST-36B-ITS2_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
